customer_id,first_name,last_name,company,address,city,state,country,postal_code,phone,fax,email,support_rep_id
1,Lu cas,Gon   §alves,Embraer - Empresa Brasileira de Aeron   ¡utica S.A.,"Av. Brigadeiro Faria Lima, 2170", Campos,SP,Brazil,12227-000,+55 (12) 3923-5555,+55 (12) 3923-5566,luisg@embraer.com.br,3
2,Leonie,Kohler,,"Av. Brigadeiro Faria Lima, 2171",Stuttgart,,Germany,70174,+49 0711 2842222,,leonekohler@surfeu.de,5
3,Fran   §ois,Tremblay,,"Av. Brigadeiro Faria Lima, 2172",Stuttgart,QC,Canada,H2G 1A7,+1 (514) 721-4711,,ftremblay@gmail.com,3
4,Brn,Hansen,,"Av. Brigadeiro Faria Lima, 2173",Oslo,,Norway,171,+47 22 44 22 22,,bjorn.hansen@yahoo.no,4
5,Frantiek,Wichterlov ,JetBrains s.r.o.,"Av. Brigadeiro Faria Lima, 2174",Prague,,Czech Republic,14700,+420 2 4172 5555,+420 2 4172 5555,frantisekw@jetbrains.com,4
6,Helena,Hol  ,,"Av. Brigadeiro Faria Lima, 2175",Prague,,Czech Republic,14300,+420 2 4177 0449,,hholy@gmail.com,5
7,Astrid,Gruber,,"Av. Brigadeiro Faria Lima, 2176",Vienne,,Austria,1010,+43 01 5134505,,astrid.gruber@apple.at,5
8,Daan,Peeters,,"Av. Brigadeiro Faria Lima, 2177",Brussels,,Belgium,1000,+32 02 219 03 03,,daan_peeters@apple.be,4
9,Kara,Nielsen,,"Av. Brigadeiro Faria Lima, 2178",Copenhagen,,Denmark,1720,+453 3331 9991,,kara.nielsen@jubii.dk,4
10,Eduardo,Martins,Woodstock Discos,"Av. Brigadeiro Faria Lima, 2179",S   Paulo,SP,Brazil,01007-010,+55 (11) 3033-5446,+55 (11) 3033-4564,eduardo@woodstock.com.br,4
11,Alexandre,Rocha,Banco do Brasil S.A.,"Av. Brigadeiro Faria Lima, 2180",S    Paulo,SP,Brazil,01310-200,+55 (11) 3055-3278,+55 (11) 3055-8131,alero@uol.com.br,5
12,Roberto,Almeida,Riotur,"Av. Brigadeiro Faria Lima, 2181",Rio de Janeiro,RJ,Brazil,20040-020,+55 (21) 2271-7000,+55 (21) 2271-7070,roberto.almeida@riotur.gov.br,3
13,Fernanda,Ramos,,"Av. Brigadeiro Faria Lima, 2182",Brasilia,DF,Brazil,71020-677,+55 (61) 3363-5547,+55 (61) 3363-7855,fernadaramos4@uol.com.br,4
